"calc1","vetorial","lpt","p1","ic","lp1","calc2","md","p2","classica","lp2","grafos","cra"
NA,8.4,8,7.4,9.8,7.7,NA,NA,8.2,7.8,8.3,NA,8.06081081081081
5.6,5.2,7.2,7,9.3,7,NA,7.1,5.4,5,7.7,6.4,6.18928571428571
7.7,5.5,9.2,8.2,8.4,7.3,NA,8.9,8.5,5.8,7.6,7.8,7.92469135802469
7.5,5.6,9.1,8.7,7.3,7.6,NA,7.6,7.2,7.4,9.1,7,7.47411764705882
8,9.5,9.2,9.3,9.6,9.4,NA,9.3,9.4,8.7,8.7,8.1,8.53373493975904
8.8,8.8,8.5,8,9.2,8.2,NA,7.5,8.2,8,8.3,5.5,8.14814814814815
7,7.3,9,9.3,8.2,7.9,NA,8,7.8,6.8,8.3,7.8,7.14096385542169
8.8,9.7,9.3,9,10,9.8,NA,9.8,9.8,8.4,9.5,10,9.06666666666667
6.1,9.2,7.5,7.8,5.2,8.4,NA,8.8,8.4,7.9,8.8,7,6.91692307692308
6.3,5,7.8,7.1,6.3,7.3,7.7,5.8,6.5,7,8.6,6.4,7.14470588235294
7.2,7.5,9.8,5,7.8,5,NA,6.6,5.4,6.2,8.1,5.6,7.64814814814815
8.5,10,8.8,9.3,9.4,9.7,NA,7.2,7.9,7.8,9.4,9.1,8.17901234567901
7.9,8.5,8,8,7,9.3,NA,7,7.3,7.5,8.3,9,7.37349397590361
7,7,8.1,6.3,8,7,NA,5.1,5.5,5,7.3,5.4,5.86990291262136
8.3,8.8,8.3,8.9,7.1,9,NA,7,9.6,6.6,9.2,7.1,7.96915662650602
5,5,7.3,5.6,5.9,5,5,5,5.3,7,7,5.1,5.95940594059406
6.3,5.2,6.1,8.7,9.7,9.6,NA,9.1,8.3,6,9.7,8.8,7.78072289156626
9,8.7,8.6,8.8,8,7.7,NA,6.4,7.6,7.3,8.2,7,8.05061728395062
9,7.2,9.3,7,8.3,7.1,NA,7.2,8,7,9,6.2,6.85393258426966
8.3,5.1,8.6,5.5,7.1,5.7,5.1,6.3,6.4,7.3,8,5.9,5.6353982300885
6.8,7.2,9.4,8.5,7.4,8.8,NA,6.4,9,7,8.3,8.5,7.65542168674699
7,7.2,7,5.8,8.5,7.4,NA,7,5.6,6.2,7.1,6,6.88470588235294
5,6.3,9.1,8.9,8.5,8.8,NA,8.4,7,7,8.4,7.5,6.6969696969697
5.6,7.1,9,8.7,9.3,8.1,NA,9.7,7.6,7,8.9,6.5,6.92470588235294
