"ALU_NOVAMATRICULA","ALU_ANO_EVASA","ALU_PERIODO_EVASAO","MAT_TUR_DIS_DISCIPLINA","DISCIPLINA","CREDITOS","MAT_MEDIA_FINAL"
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1307151,"Leitura e Produção de Textos",4,7.3
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1109103,"Cálculo Diferencial e Integral I",4,8
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1109113,"Matemática Discreta",4,5.2
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1411168,"Programação II",4,6.5
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1411170,"Teoria dos Grafos",2,5
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1411181,"Laboratório de Programação II",4,6.5
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1108089,"Fundamentos de Física Clássica",4,3.6
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1109053,"Cálculo Diferencial e Integral II",4,5.2
"3709ecb4267fcfc3dd7c9b947b85768e",2015,1,1108089,"Fundamentos de Física Clássica",4,5.9
"78558a2bb35bc0234d8d370016e071ce",2015,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,8
"78558a2bb35bc0234d8d370016e071ce",2015,1,1109103,"Cálculo Diferencial e Integral I",4,9.1
"78558a2bb35bc0234d8d370016e071ce",2015,1,1411167,"Programação I",4,6.3
"78558a2bb35bc0234d8d370016e071ce",2015,1,1411174,"Introdução à Computação",4,9.7
"78558a2bb35bc0234d8d370016e071ce",2015,1,1411180,"Laboratório de Programação I",4,4
"78558a2bb35bc0234d8d370016e071ce",2015,1,1307151,"Leitura e Produção de Textos",4,8.9
"78558a2bb35bc0234d8d370016e071ce",2015,1,1108089,"Fundamentos de Física Clássica",4,9.1
"78558a2bb35bc0234d8d370016e071ce",2015,1,1109053,"Cálculo Diferencial e Integral II",4,9.8
"78558a2bb35bc0234d8d370016e071ce",2015,1,1411180,"Laboratório de Programação I",4,8.8
"78558a2bb35bc0234d8d370016e071ce",2015,1,1411181,"Laboratório de Programação II",4,8.7
"78558a2bb35bc0234d8d370016e071ce",2015,1,1109113,"Matemática Discreta",4,9
"78558a2bb35bc0234d8d370016e071ce",2015,1,1411168,"Programação II",4,9.4
"78558a2bb35bc0234d8d370016e071ce",2015,1,1411170,"Teoria dos Grafos",2,10
"50d599030ad4d1bf99761f289f090709",2016,1,1109103,"Cálculo Diferencial e Integral I",4,8.8
"50d599030ad4d1bf99761f289f090709",2016,1,1411167,"Programação I",4,9
"50d599030ad4d1bf99761f289f090709",2016,1,1411180,"Laboratório de Programação I",4,9.2
"50d599030ad4d1bf99761f289f090709",2016,1,1307151,"Leitura e Produção de Textos",4,9
"50d599030ad4d1bf99761f289f090709",2016,1,1109035,"Álgebra Vetorial e Geometria Analítica",4,NA
"50d599030ad4d1bf99761f289f090709",2016,1,1411174,"Introdução à Computação",4,9.8
